index,category,filename,source_image,duration_seconds,width,height,fps
22,people,videos\people\people_video_0022_8s.mp4,people\people_0395_people-395-553313.jpg,8,1280,720,24
23,people,videos\people\people_video_0023_2s.mp4,people\people_0336_people-336-370548.jpg,2,1280,720,24
24,narrative,videos\narrative\narrative_video_0024_7s.mp4,narrative\narrative_0638_narrative-638-852750.jpg,7,1280,720,24
25,landscape,videos\landscape\landscape_video_0025_1s.mp4,landscape\landscape_0492_landscape-492-729565.jpg,1,1280,720,24
26,random,videos\random\random_video_0026_9s.mp4,random\random_0130_random-130-278063.jpg,9,1280,720,24
27,random,videos\random\random_video_0027_9s.mp4,random\random_0411_random-411-416739.jpg,9,1280,720,24
28,landscape,videos\landscape\landscape_video_0028_3s.mp4,landscape\landscape_0703_landscape-703-275606.jpg,3,1280,720,24
29,random,videos\random\random_video_0029_1s.mp4,random\random_0293_random-293-533897.jpg,1,1280,720,24
30,people,videos\people\people_video_0030_9s.mp4,people\people_0704_people-704-403881.jpg,9,1280,720,24
31,landscape,videos\landscape\landscape_video_0031_2s.mp4,landscape\landscape_0333_landscape-333-410972.jpg,2,1280,720,24
32,random,videos\random\random_video_0032_4s.mp4,random\random_0371_random-371-231817.jpg,4,1280,720,24
33,landscape,videos\landscape\landscape_video_0033_1s.mp4,landscape\landscape_0358_landscape-358-725025.jpg,1,1280,720,24
34,landscape,videos\landscape\landscape_video_0034_3s.mp4,landscape\landscape_0437_landscape-437-957445.jpg,3,1280,720,24
35,people,videos\people\people_video_0035_9s.mp4,people\people_0976_people-976-996996.jpg,9,1280,720,24
36,narrative,videos\narrative\narrative_video_0036_8s.mp4,narrative\narrative_0336_narrative-336-644438.jpg,8,1280,720,24
37,landscape,videos\landscape\landscape_video_0037_5s.mp4,landscape\landscape_0774_landscape-774-824394.jpg,5,1280,720,24
38,narrative,videos\narrative\narrative_video_0038_1s.mp4,narrative\narrative_0266_narrative-266-628617.jpg,1,1280,720,24
39,people,videos\people\people_video_0039_2s.mp4,people\people_0514_people-514-254338.jpg,2,1280,720,24
40,random,videos\random\random_video_0040_5s.mp4,random\random_0245_random-245-169488.jpg,5,1280,720,24
41,people,videos\people\people_video_0041_5s.mp4,people\people_0907_people-907-163315.jpg,5,1280,720,24
42,landscape,videos\landscape\landscape_video_0042_2s.mp4,landscape\landscape_0535_landscape-535-327741.jpg,2,1280,720,24
43,people,videos\people\people_video_0043_9s.mp4,people\people_0041_people-41-802218.jpg,9,1280,720,24
44,landscape,videos\landscape\landscape_video_0044_2s.mp4,landscape\landscape_0421_landscape-421-985669.jpg,2,1280,720,24
45,people,videos\people\people_video_0045_6s.mp4,people\people_0182_people-182-520506.jpg,6,1280,720,24
46,landscape,videos\landscape\landscape_video_0046_10s.mp4,landscape\landscape_0536_landscape-536-302718.jpg,10,1280,720,24
47,people,videos\people\people_video_0047_5s.mp4,people\people_0345_people-345-404708.jpg,5,1280,720,24
48,narrative,videos\narrative\narrative_video_0048_8s.mp4,narrative\narrative_0826_narrative-826-683779.jpg,8,1280,720,24
49,landscape,videos\landscape\landscape_video_0049_7s.mp4,landscape\landscape_0384_landscape-384-421863.jpg,7,1280,720,24
50,random,videos\random\random_video_0050_7s.mp4,random\random_0134_random-134-219590.jpg,7,1280,720,24
51,narrative,videos\narrative\narrative_video_0051_5s.mp4,narrative\narrative_0311_narrative-311-643553.jpg,5,1280,720,24
52,random,videos\random\random_video_0052_2s.mp4,random\random_0470_random-470-150838.jpg,2,1280,720,24
53,narrative,videos\narrative\narrative_video_0053_1s.mp4,narrative\narrative_0209_narrative-209-123373.jpg,1,1280,720,24
54,landscape,videos\landscape\landscape_video_0054_9s.mp4,landscape\landscape_0847_landscape-847-582408.jpg,9,1280,720,24
55,random,videos\random\random_video_0055_7s.mp4,random\random_0116_random-116-879678.jpg,7,1280,720,24
56,narrative,videos\narrative\narrative_video_0056_9s.mp4,narrative\narrative_0325_narrative-325-797944.jpg,9,1280,720,24
57,people,videos\people\people_video_0057_7s.mp4,people\people_0555_people-555-855234.jpg,7,1280,720,24
58,random,videos\random\random_video_0058_6s.mp4,random\random_0175_random-175-870747.jpg,6,1280,720,24
59,narrative,videos\narrative\narrative_video_0059_8s.mp4,narrative\narrative_0155_narrative-155-521189.jpg,8,1280,720,24
60,random,videos\random\random_video_0060_4s.mp4,random\random_0005_random-5-656581.jpg,4,1280,720,24
61,people,videos\people\people_video_0061_9s.mp4,people\people_0341_people-341-692999.jpg,9,1280,720,24
62,landscape,videos\landscape\landscape_video_0062_8s.mp4,landscape\landscape_0446_landscape-446-441247.jpg,8,1280,720,24
63,random,videos\random\random_video_0063_1s.mp4,random\random_0490_random-490-531899.jpg,1,1280,720,24
64,narrative,videos\narrative\narrative_video_0064_5s.mp4,narrative\narrative_0392_narrative-392-953780.jpg,5,1280,720,24
65,people,videos\people\people_video_0065_4s.mp4,people\people_0194_people-194-144628.jpg,4,1280,720,24
66,narrative,videos\narrative\narrative_video_0066_10s.mp4,narrative\narrative_0476_narrative-476-246592.jpg,10,1280,720,24
67,random,videos\random\random_video_0067_3s.mp4,random\random_0441_random-441-724911.jpg,3,1280,720,24
68,landscape,videos\landscape\landscape_video_0068_1s.mp4,landscape\landscape_0061_landscape-61-793212.jpg,1,1280,720,24
69,narrative,videos\narrative\narrative_video_0069_10s.mp4,narrative\narrative_0222_narrative-222-123846.jpg,10,1280,720,24
70,landscape,videos\landscape\landscape_video_0070_5s.mp4,landscape\landscape_0234_landscape-234-811151.jpg,5,1280,720,24
71,random,videos\random\random_video_0071_6s.mp4,random\random_0110_random-110-620558.jpg,6,1280,720,24
72,landscape,videos\landscape\landscape_video_0072_3s.mp4,landscape\landscape_0808_landscape-808-344882.jpg,3,1280,720,24
73,landscape,videos\landscape\landscape_video_0073_3s.mp4,landscape\landscape_0828_landscape-828-561780.jpg,3,1280,720,24
74,people,videos\people\people_video_0074_8s.mp4,people\people_0601_people-601-296621.jpg,8,1280,720,24
75,narrative,videos\narrative\narrative_video_0075_8s.mp4,narrative\narrative_0804_narrative-804-496780.jpg,8,1280,720,24
76,people,videos\people\people_video_0076_9s.mp4,people\people_0994_people-994-371076.jpg,9,1280,720,24
77,people,videos\people\people_video_0077_5s.mp4,people\people_0957_people-957-436129.jpg,5,1280,720,24
78,random,videos\random\random_video_0078_10s.mp4,random\random_0078_random-78-386819.jpg,10,1280,720,24
79,landscape,videos\landscape\landscape_video_0079_8s.mp4,landscape\landscape_0528_landscape-528-776455.jpg,8,1280,720,24
80,random,videos\random\random_video_0080_10s.mp4,random\random_0235_random-235-118542.jpg,10,1280,720,24
81,people,videos\people\people_video_0081_5s.mp4,people\people_0564_people-564-275379.jpg,5,1280,720,24
82,random,videos\random\random_video_0082_9s.mp4,random\random_0156_random-156-306998.jpg,9,1280,720,24
83,random,videos\random\random_video_0083_10s.mp4,random\random_0285_random-285-624066.jpg,10,1280,720,24
84,people,videos\people\people_video_0084_1s.mp4,people\people_0698_people-698-348179.jpg,1,1280,720,24
85,random,videos\random\random_video_0085_2s.mp4,random\random_0030_random-30-169845.jpg,2,1280,720,24
86,random,videos\random\random_video_0086_4s.mp4,random\random_0113_random-113-434347.jpg,4,1280,720,24
87,narrative,videos\narrative\narrative_video_0087_6s.mp4,narrative\narrative_0629_narrative-629-418666.jpg,6,1280,720,24
88,narrative,videos\narrative\narrative_video_0088_2s.mp4,narrative\narrative_0589_narrative-589-525028.jpg,2,1280,720,24
89,random,videos\random\random_video_0089_2s.mp4,random\random_0352_random-352-273681.jpg,2,1280,720,24
90,random,videos\random\random_video_0090_6s.mp4,random\random_0210_random-210-807404.jpg,6,1280,720,24
91,random,videos\random\random_video_0091_9s.mp4,random\random_0487_random-487-260650.jpg,9,1280,720,24
92,narrative,videos\narrative\narrative_video_0092_1s.mp4,narrative\narrative_0080_narrative-80-399047.jpg,1,1280,720,24
93,narrative,videos\narrative\narrative_video_0093_6s.mp4,narrative\narrative_0826_narrative-826-683779.jpg,6,1280,720,24
94,landscape,videos\landscape\landscape_video_0094_2s.mp4,landscape\landscape_0383_landscape-383-162714.jpg,2,1280,720,24
95,narrative,videos\narrative\narrative_video_0095_4s.mp4,narrative\narrative_0250_narrative-250-630114.jpg,4,1280,720,24
96,people,videos\people\people_video_0096_1s.mp4,people\people_0631_people-631-745129.jpg,1,1280,720,24
97,landscape,videos\landscape\landscape_video_0097_5s.mp4,landscape\landscape_0136_landscape-136-440982.jpg,5,1280,720,24
98,random,videos\random\random_video_0098_1s.mp4,random\random_0468_random-468-682080.jpg,1,1280,720,24
99,people,videos\people\people_video_0099_3s.mp4,people\people_0495_people-495-646568.jpg,3,1280,720,24
100,narrative,videos\narrative\narrative_video_0100_7s.mp4,narrative\narrative_0783_narrative-783-228556.jpg,7,1280,720,24
101,landscape,videos\landscape\landscape_video_0101_9s.mp4,landscape\landscape_0204_landscape-204-752187.jpg,9,1280,720,24
102,landscape,videos\landscape\landscape_video_0102_3s.mp4,landscape\landscape_0742_landscape-742-762698.jpg,3,1280,720,24
103,landscape,videos\landscape\landscape_video_0103_5s.mp4,landscape\landscape_0538_landscape-538-115646.jpg,5,1280,720,24
104,narrative,videos\narrative\narrative_video_0104_3s.mp4,narrative\narrative_0579_narrative-579-142287.jpg,3,1280,720,24
105,people,videos\people\people_video_0105_7s.mp4,people\people_0144_people-144-251999.jpg,7,1280,720,24
106,narrative,videos\narrative\narrative_video_0106_1s.mp4,narrative\narrative_0967_narrative-967-736511.jpg,1,1280,720,24
107,narrative,videos\narrative\narrative_video_0107_2s.mp4,narrative\narrative_0236_narrative-236-728930.jpg,2,1280,720,24
108,people,videos\people\people_video_0108_2s.mp4,people\people_0747_people-747-967057.jpg,2,1280,720,24
109,landscape,videos\landscape\landscape_video_0109_2s.mp4,landscape\landscape_0891_landscape-891-576330.jpg,2,1280,720,24
110,narrative,videos\narrative\narrative_video_0110_3s.mp4,narrative\narrative_0041_narrative-41-139841.jpg,3,1280,720,24
111,landscape,videos\landscape\landscape_video_0111_9s.mp4,landscape\landscape_0888_landscape-888-189414.jpg,9,1280,720,24
112,random,videos\random\random_video_0112_10s.mp4,random\random_0329_random-329-993600.jpg,10,1280,720,24
113,people,videos\people\people_video_0113_4s.mp4,people\people_0375_people-375-391187.jpg,4,1280,720,24
114,landscape,videos\landscape\landscape_video_0114_10s.mp4,landscape\landscape_0657_landscape-657-229063.jpg,10,1280,720,24
115,people,videos\people\people_video_0115_5s.mp4,people\people_0764_people-764-903493.jpg,5,1280,720,24
116,people,videos\people\people_video_0116_8s.mp4,people\people_0394_people-394-479874.jpg,8,1280,720,24
117,random,videos\random\random_video_0117_3s.mp4,random\random_0370_random-370-738864.jpg,3,1280,720,24
118,random,videos\random\random_video_0118_7s.mp4,random\random_0188_random-188-977453.jpg,7,1280,720,24
119,random,videos\random\random_video_0119_4s.mp4,random\random_0435_random-435-284344.jpg,4,1280,720,24
120,random,videos\random\random_video_0120_2s.mp4,random\random_0294_random-294-604586.jpg,2,1280,720,24
121,people,videos\people\people_video_0121_6s.mp4,people\people_0458_people-458-216552.jpg,6,1280,720,24
122,random,videos\random\random_video_0122_6s.mp4,random\random_0218_random-218-161589.jpg,6,1280,720,24
123,narrative,videos\narrative\narrative_video_0123_7s.mp4,narrative\narrative_0265_narrative-265-250650.jpg,7,1280,720,24
124,random,videos\random\random_video_0124_4s.mp4,random\random_0116_random-116-879678.jpg,4,1280,720,24
125,landscape,videos\landscape\landscape_video_0125_3s.mp4,landscape\landscape_0458_landscape-458-866167.jpg,3,1280,720,24
126,people,videos\people\people_video_0126_5s.mp4,people\people_0128_people-128-366239.jpg,5,1280,720,24
127,narrative,videos\narrative\narrative_video_0127_10s.mp4,narrative\narrative_0114_narrative-114-871269.jpg,10,1280,720,24
128,narrative,videos\narrative\narrative_video_0128_7s.mp4,narrative\narrative_0034_narrative-34-790769.jpg,7,1280,720,24
129,landscape,videos\landscape\landscape_video_0129_5s.mp4,landscape\landscape_0725_landscape-725-760524.jpg,5,1280,720,24
130,people,videos\people\people_video_0130_4s.mp4,people\people_0179_people-179-402037.jpg,4,1280,720,24
131,people,videos\people\people_video_0131_2s.mp4,people\people_0700_people-700-517627.jpg,2,1280,720,24
132,narrative,videos\narrative\narrative_video_0132_8s.mp4,narrative\narrative_0288_narrative-288-282377.jpg,8,1280,720,24
133,random,videos\random\random_video_0133_7s.mp4,random\random_0316_random-316-948152.jpg,7,1280,720,24
134,narrative,videos\narrative\narrative_video_0134_5s.mp4,narrative\narrative_0184_narrative-184-199504.jpg,5,1280,720,24
135,landscape,videos\landscape\landscape_video_0135_7s.mp4,landscape\landscape_0966_landscape-966-491522.jpg,7,1280,720,24
136,narrative,videos\narrative\narrative_video_0136_3s.mp4,narrative\narrative_0889_narrative-889-676273.jpg,3,1280,720,24
137,landscape,videos\landscape\landscape_video_0137_5s.mp4,landscape\landscape_0477_landscape-477-822790.jpg,5,1280,720,24
138,random,videos\random\random_video_0138_8s.mp4,random\random_0319_random-319-709093.jpg,8,1280,720,24
139,people,videos\people\people_video_0139_2s.mp4,people\people_0567_people-567-146206.jpg,2,1280,720,24
140,random,videos\random\random_video_0140_8s.mp4,random\random_0457_random-457-646971.jpg,8,1280,720,24
141,narrative,videos\narrative\narrative_video_0141_1s.mp4,narrative\narrative_0298_narrative-298-110408.jpg,1,1280,720,24
142,random,videos\random\random_video_0142_7s.mp4,random\random_0122_random-122-805155.jpg,7,1280,720,24
143,narrative,videos\narrative\narrative_video_0143_8s.mp4,narrative\narrative_0101_narrative-101-249753.jpg,8,1280,720,24
144,people,videos\people\people_video_0144_9s.mp4,people\people_0719_people-719-527742.jpg,9,1280,720,24
145,landscape,videos\landscape\landscape_video_0145_10s.mp4,landscape\landscape_0473_landscape-473-359078.jpg,10,1280,720,24
146,landscape,videos\landscape\landscape_video_0146_1s.mp4,landscape\landscape_0262_landscape-262-576790.jpg,1,1280,720,24
147,landscape,videos\landscape\landscape_video_0147_10s.mp4,landscape\landscape_0026_landscape-26-555341.jpg,10,1280,720,24
148,landscape,videos\landscape\landscape_video_0148_1s.mp4,landscape\landscape_0331_landscape-331-101507.jpg,1,1280,720,24
149,people,videos\people\people_video_0149_3s.mp4,people\people_0266_people-266-586637.jpg,3,1280,720,24
150,landscape,videos\landscape\landscape_video_0150_6s.mp4,landscape\landscape_0622_landscape-622-149847.jpg,6,1280,720,24
151,random,videos\random\random_video_0151_9s.mp4,random\random_0243_random-243-427916.jpg,9,1280,720,24
152,landscape,videos\landscape\landscape_video_0152_5s.mp4,landscape\landscape_0274_landscape-274-908627.jpg,5,1280,720,24
153,people,videos\people\people_video_0153_2s.mp4,people\people_0284_people-284-721266.jpg,2,1280,720,24
154,people,videos\people\people_video_0154_3s.mp4,people\people_0308_people-308-341723.jpg,3,1280,720,24
155,people,videos\people\people_video_0155_10s.mp4,people\people_0609_people-609-545908.jpg,10,1280,720,24
156,narrative,videos\narrative\narrative_video_0156_3s.mp4,narrative\narrative_0157_narrative-157-559654.jpg,3,1280,720,24
157,people,videos\people\people_video_0157_2s.mp4,people\people_0312_people-312-465411.jpg,2,1280,720,24
158,people,videos\people\people_video_0158_9s.mp4,people\people_0207_people-207-490540.jpg,9,1280,720,24
159,narrative,videos\narrative\narrative_video_0159_5s.mp4,narrative\narrative_0387_narrative-387-502480.jpg,5,1280,720,24
160,landscape,videos\landscape\landscape_video_0160_2s.mp4,landscape\landscape_0402_landscape-402-979017.jpg,2,1280,720,24
161,random,videos\random\random_video_0161_8s.mp4,random\random_0451_random-451-987132.jpg,8,1280,720,24
162,narrative,videos\narrative\narrative_video_0162_6s.mp4,narrative\narrative_0488_narrative-488-719177.jpg,6,1280,720,24
163,landscape,videos\landscape\landscape_video_0163_3s.mp4,landscape\landscape_0130_landscape-130-955712.jpg,3,1280,720,24
164,random,videos\random\random_video_0164_8s.mp4,random\random_0209_random-209-488655.jpg,8,1280,720,24
165,narrative,videos\narrative\narrative_video_0165_1s.mp4,narrative\narrative_0720_narrative-720-558637.jpg,1,1280,720,24
166,people,videos\people\people_video_0166_8s.mp4,people\people_0681_people-681-764487.jpg,8,1280,720,24
167,random,videos\random\random_video_0167_1s.mp4,random\random_0408_random-408-173340.jpg,1,1280,720,24
168,people,videos\people\people_video_0168_5s.mp4,people\people_0117_people-117-834565.jpg,5,1280,720,24
169,random,videos\random\random_video_0169_6s.mp4,random\random_0302_random-302-788020.jpg,6,1280,720,24
170,narrative,videos\narrative\narrative_video_0170_1s.mp4,narrative\narrative_0727_narrative-727-972496.jpg,1,1280,720,24
171,narrative,videos\narrative\narrative_video_0171_3s.mp4,narrative\narrative_0127_narrative-127-219041.jpg,3,1280,720,24
172,narrative,videos\narrative\narrative_video_0172_5s.mp4,narrative\narrative_0101_narrative-101-249753.jpg,5,1280,720,24
173,narrative,videos\narrative\narrative_video_0173_10s.mp4,narrative\narrative_0275_narrative-275-304382.jpg,10,1280,720,24
174,random,videos\random\random_video_0174_5s.mp4,random\random_0221_random-221-696397.jpg,5,1280,720,24
175,people,videos\people\people_video_0175_3s.mp4,people\people_0327_people-327-875306.jpg,3,1280,720,24
176,random,videos\random\random_video_0176_4s.mp4,random\random_0270_random-270-796060.jpg,4,1280,720,24
177,people,videos\people\people_video_0177_3s.mp4,people\people_0043_people-43-172691.jpg,3,1280,720,24
178,people,videos\people\people_video_0178_4s.mp4,people\people_0292_people-292-810379.jpg,4,1280,720,24
179,random,videos\random\random_video_0179_5s.mp4,random\random_0083_random-83-162946.jpg,5,1280,720,24
180,narrative,videos\narrative\narrative_video_0180_9s.mp4,narrative\narrative_0300_narrative-300-396727.jpg,9,1280,720,24
181,people,videos\people\people_video_0181_1s.mp4,people\people_0897_people-897-361299.jpg,1,1280,720,24
182,people,videos\people\people_video_0182_4s.mp4,people\people_0171_people-171-858816.jpg,4,1280,720,24
183,landscape,videos\landscape\landscape_video_0183_2s.mp4,landscape\landscape_0753_landscape-753-893220.jpg,2,1280,720,24
184,landscape,videos\landscape\landscape_video_0184_9s.mp4,landscape\landscape_0526_landscape-526-120251.jpg,9,1280,720,24
185,narrative,videos\narrative\narrative_video_0185_4s.mp4,narrative\narrative_0386_narrative-386-779849.jpg,4,1280,720,24
186,narrative,videos\narrative\narrative_video_0186_10s.mp4,narrative\narrative_0264_narrative-264-165588.jpg,10,1280,720,24
187,narrative,videos\narrative\narrative_video_0187_4s.mp4,narrative\narrative_0862_narrative-862-647932.jpg,4,1280,720,24
188,random,videos\random\random_video_0188_1s.mp4,random\random_0277_random-277-721474.jpg,1,1280,720,24
189,random,videos\random\random_video_0189_2s.mp4,random\random_0341_random-341-204752.jpg,2,1280,720,24
190,landscape,videos\landscape\landscape_video_0190_4s.mp4,landscape\landscape_0857_landscape-857-534024.jpg,4,1280,720,24
191,landscape,videos\landscape\landscape_video_0191_5s.mp4,landscape\landscape_0695_landscape-695-954385.jpg,5,1280,720,24
192,people,videos\people\people_video_0192_4s.mp4,people\people_0496_people-496-650487.jpg,4,1280,720,24
193,landscape,videos\landscape\landscape_video_0193_3s.mp4,landscape\landscape_0991_landscape-991-332447.jpg,3,1280,720,24
194,landscape,videos\landscape\landscape_video_0194_1s.mp4,landscape\landscape_0526_landscape-526-120251.jpg,1,1280,720,24
195,landscape,videos\landscape\landscape_video_0195_5s.mp4,landscape\landscape_0791_landscape-791-355828.jpg,5,1280,720,24
196,narrative,videos\narrative\narrative_video_0196_3s.mp4,narrative\narrative_0866_narrative-866-169564.jpg,3,1280,720,24
197,people,videos\people\people_video_0197_6s.mp4,people\people_0178_people-178-927955.jpg,6,1280,720,24
198,narrative,videos\narrative\narrative_video_0198_5s.mp4,narrative\narrative_0997_narrative-997-802717.jpg,5,1280,720,24
199,random,videos\random\random_video_0199_4s.mp4,random\random_0114_random-114-710200.jpg,4,1280,720,24
200,narrative,videos\narrative\narrative_video_0200_8s.mp4,narrative\narrative_0524_narrative-524-514356.jpg,8,1280,720,24
